"aren't","are not"
"can't","cannot"
"couldn't","could not"
"didn't","did not"
"doesn't","does not"
"don't","do not"
"hadn't","had not"
"hasn't","has not"
"haven't","have not"
"he'd","he had"
"he'd", "he would"
"he'll","he will"
"he'll","he shall"
"he's","he is"
"he's","he has"
"I'd","I had"
"I'd","I would"
"I'll","I will"
"I'll","I shall"
"I'm","I am"
"I've","I have"
"isn't","is not"
"it's","it is"
"it's","it has"
"let's","let us"
"mightn't","might not"
"mustn't","must not"
"shan't","shall not"
"she'd","she had"
"she'd","she would"
"she'll","she will"
"she'll","she shall"
"she's","she is"
"she's","she has"
"shouldn't","should not"
"that's","that is"
"that's","that has"
"there's","there is"
"there's","there has"
"they'd","they had"
"they'd","they would"
"they'll","they will"
"they'll","they shall"
"they're","they are"
"they've","they have"
"we'd","we had"
"we'd","we would"
"we're","we are"
"we've","we have"
"weren't","were not"
"what'll","what will"
"what'll","what shall"
"what're","what are"
"what's","what is"
"what's","what has"
"what's","what does"
"what've","what have"
"where's","where is"
"where's","where has"
"who'd","who had"
"who'd","who would"
"who'll","who will"
"who'll","who shall"
"who's","who is"
"who's","who has"
"who've","who have"
"won't","will not"
"wouldn't","would not"
"you'd","you had"
"you'd","you would"
"you'll","you will"
"you'll","you shall"
"you're","you are"
"you've","you have"
